#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.74238  0.70182 -0.02152 -0.94361  0.000478  0.000183  0.000238     2.620
   1.75948  0.71888 -0.02043 -0.94301  0.000486  0.000185  0.000233     2.623
   1.77658  0.73594 -0.01932 -0.94223  0.000495  0.000188  0.000227     2.630
   1.79368  0.75301 -0.01821 -0.94162  0.000503  0.000191  0.000223     2.632
   1.81078  0.77008 -0.01709 -0.94076  0.000512  0.000194  0.000217     2.640
   1.82789  0.78715 -0.01597 -0.93999  0.000520  0.000197  0.000212     2.645
   1.84499  0.80422 -0.01484 -0.93924  0.000528  0.000200  0.000207     2.648
   1.86210  0.82128 -0.01370 -0.93830  0.000538  0.000202  0.000201     2.657
   1.87919  0.83834 -0.01256 -0.93743  0.000547  0.000205  0.000197     2.663
   1.89627  0.85538 -0.01141 -0.93703  0.000551  0.000208  0.000197     2.655
   1.91334  0.87240 -0.01026 -0.93689  0.000540  0.000210  0.000415     2.571
   1.93036  0.88939 -0.00910 -0.92786  0.000421  0.000227  0.001402     1.856
   1.94729  0.90628 -0.00793 -0.92439  0.000383  0.000248  0.002321     1.541
   1.96405  0.92300 -0.00677 -0.92258  0.000392  0.000275  0.002727     1.427
   1.98046  0.93937 -0.00562 -0.91988  0.000424  0.000305  0.002799     1.392
   1.99621  0.95508 -0.00451 -0.91565  0.000464  0.000335  0.002741     1.384
   2.01084  0.96967 -0.00347 -0.90990  0.000508  0.000367  0.002641     1.385
   2.02384  0.98263 -0.00253 -0.90219  0.000554  0.000398  0.002520     1.391
   2.03492  0.99369 -0.00172 -0.88797  0.000615  0.000437  0.002325     1.407
   2.04125  1.00000 -0.00126 -0.88951  0.000621  0.000444  0.002356     1.399
   2.04125  1.00010 -0.00001  0.88951  0.010494  0.004616  0.000000     2.273
   2.04757  1.00641 -0.00040  0.86704  0.009690  0.005124  0.000000     1.891
   2.05499  1.01382 -0.00078  0.87734  0.008761  0.004897  0.000000     1.789
   2.06368  1.02250 -0.00117  0.88799  0.007965  0.004681  0.000000     1.701
   2.07387  1.03269 -0.00158  0.89858  0.007285  0.004482  0.000000     1.625
   2.08583  1.04463 -0.00199  0.90881  0.006708  0.004303  0.000000     1.559
   2.09984  1.05864 -0.00242  0.91843  0.006216  0.004146  0.000000     1.499
   2.11627  1.07507 -0.00283  0.92731  0.005795  0.004010  0.000000     1.445
   2.13554  1.09433 -0.00323  0.93544  0.005432  0.003892  0.000000     1.396
   2.15813  1.11692 -0.00360  0.94284  0.005116  0.003790  0.000000     1.350
   2.18462  1.14340 -0.00390  0.94957  0.004838  0.003701  0.000000     1.307
   2.21567  1.17446 -0.00410  0.95569  0.004594  0.003624  0.000000     1.268
